track_id,track_name,artist_name,album_name,album_id,release_date,popularity,duration_ms,album_images,album_image_url,artist_ids,explicit,preview_url
4VxaUj96W2jw9UOtKHu51p,Goodbye,"Apparat, Soap&Skin",The Devil's Walk,2NgcipPgtbHvKUaDz1LgxJ,2011,58,256786,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27376f2cb2ac2670e125a4670ca', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0276f2cb2ac2670e125a4670ca', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485176f2cb2ac2670e125a4670ca', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27376f2cb2ac2670e125a4670ca,"['40Ojab0UtVQFjA76qXr8Ot', '2mAYpnSe3g2Y22JcZ2ddku']",False,
1XZPtZVqcOzzxbYIR7MjQw,Ontario,"Novo Amor, Lowswimmer",Heiress,4poxm3vY9nKdqcyeWv5h0a,2017-11-10,66,192866,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d309a3c5dd94287bbcfed486', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d309a3c5dd94287bbcfed486', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d309a3c5dd94287bbcfed486', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273d309a3c5dd94287bbcfed486,"['0rZp7G3gIH6WkyeXbrZnGi', '7FW2qwsY0zLV9GppWatQ5P']",False,
2kfGoV9a5dbSKCNmUWH2ZF,Turning Page,Sleeping At Last,Turning Page,7lh3v8GsuH6TKFQcTimkji,2012-06-18,70,255893,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27330eb992a82f895893f60375b', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0230eb992a82f895893f60375b', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485130eb992a82f895893f60375b', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27330eb992a82f895893f60375b,['0MeLMJJcouYXCymQSHPn8g'],False,
7cs7MLtAWvsdf3w5kBvfK2,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,I.,12UGkXT4z3ajgq6xheCGDk,2012-07-21,21,286293,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2739da736813eb8d9de94d46828', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e029da736813eb8d9de94d46828', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048519da736813eb8d9de94d46828', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b2739da736813eb8d9de94d46828,['1QAJqy2dA3ihHBFIHRphZj'],False,
4WfV1CNg91SBp8oG0VY0VB,Crush,Cigarettes After Sex,Crush,66MRfhZmuTuyGCO1dJZTRB,2018-07-09,34,266666,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27306b5cddefc4c343db7c969e6', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0206b5cddefc4c343db7c969e6', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485106b5cddefc4c343db7c969e6', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27306b5cddefc4c343db7c969e6,['1QAJqy2dA3ihHBFIHRphZj'],True,
70YTBH8vOGJNMhy6186yFm,Heavenly,Cigarettes After Sex,Cry,4uQ5kFmXQdCxz3WvM4UUzy,2019-10-25,56,286773,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf,['1QAJqy2dA3ihHBFIHRphZj'],False,
1l4pW7Tklvcc3k38rDFMkk,Touch,Cigarettes After Sex,Cry,4uQ5kFmXQdCxz3WvM4UUzy,2019-10-25,54,292853,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf,['1QAJqy2dA3ihHBFIHRphZj'],False,
5VYBergVrUDcb8QyEg70cF,Keep on Loving You,Cigarettes After Sex,Affection,4zBZX3bPIQkJMY0CaTGFKh,2015-01-01,12,233010,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2733c7b93e728351de613fe816b', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e023c7b93e728351de613fe816b', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048513c7b93e728351de613fe816b', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b2733c7b93e728351de613fe816b,['1QAJqy2dA3ihHBFIHRphZj'],False,
1BncfTJAWxrsxyT9culBrj,Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",In A Time Lapse,3uJ6D2WOPdjwJ0SrsH9EiG,2013-01-01,77,315426,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2736c8ef0538e04f2e28380dcc5', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e026c8ef0538e04f2e28380dcc5', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048516c8ef0538e04f2e28380dcc5', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b2736c8ef0538e04f2e28380dcc5,"['2uFUBdaVGtyMqckSeCl0Qj', '59r5UU2HOytn9V5uMZ5Vur', '1k1AM2ESRQseVAj6rvBdtx']",False,
7CoMBpPTwQi2wPT0U0Nr9b,State Lines,Novo Amor,Birthplace,0tWckYjFI6ioZptLr42J3p,2018-10-19,75,208653,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273bb7f4860ea8f7f6515756252', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02bb7f4860ea8f7f6515756252', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851bb7f4860ea8f7f6515756252', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273bb7f4860ea8f7f6515756252,['0rZp7G3gIH6WkyeXbrZnGi'],False,
